filename,procdump,dropped,processes,files,read_files,write_files,delete_files,keys,read_keys,write_keys,delete_keys,executed_commands,resolved_apis,mutexes,started_services,hosts,domains,tcp,udp,icmp,http,dns,dead_hosts,signatures_count,ttps_count,status
260.json,0,1,7,442,0,2,4,5935,4314,29,0,18,0,31,0,0,0,261,67,1,0,0,0,14,10,malicious
261.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
262.json,0,0,4,129,1,1,1,899,413,4,0,4,0,9,0,0,0,225,76,1,0,0,0,11,7,malicious
263.json,0,0,8,218,1,1,1,2040,1027,25,1,14,0,16,1,0,1,212,49,3,0,1,0,17,14,malicious
264.json,3,1,5,187,0,0,2,611,374,17,0,2,0,5,0,1,1,208,92,2,1,1,0,19,13,malicious
265.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
266.json,0,0,5,189,0,0,2,617,377,17,0,3,0,5,2,0,0,0,0,0,0,0,0,13,6,benign
267.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,benign
268.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,benign
269.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,benign
27.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,1,0,0,0,3,2,benign
270.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
271.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
272.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
273.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
274.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
275.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
276.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
277.json,0,0,1,7,0,0,0,14,8,0,0,0,0,1,0,8,1,19,8,6,1,1,2,14,10,benign
28.json,0,0,8,176,1,1,1,1651,885,10,1,7,0,18,0,0,0,0,639,2,0,0,0,15,11,malicious
29.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,2,0,0,0,2,2,benign
3.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
30.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,2,2,benign
31.json,0,0,12,198,1,1,1,1030,480,16,0,10,2,14,0,1,0,0,708,0,0,0,0,15,9,malicious
32.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2,2,benign
33.json,0,0,12,229,1,2,3,1882,1017,38,4,12,2,24,0,1,0,0,703,0,0,0,0,17,14,malicious
34.json,0,0,5,110,0,0,0,4162,3425,26,2,7,0,14,1,0,0,0,630,1,0,0,0,8,5,suspicious
35.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,benign
36.json,1,0,7,252,1,1,1,1425,829,38,2,7,0,14,0,0,0,0,0,0,0,0,0,35,18,malicious
37.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,benign
38.json,0,0,3,98,1,1,1,750,340,4,0,1,0,7,0,0,0,0,20,0,0,0,0,8,6,malicious
39.json,0,0,7,131,1,1,1,1060,544,4,0,5,0,11,1,0,0,0,51,1,0,0,0,11,8,malicious
